Basics Table Query,Select all columns from the table identified by 'syn123'.,select * from syn123
Basics Table Query,Select only two columns identified by 'foo' and 'bar' from the table identified by 'syn'123'.,"select foo, bar from syn123"
Basics Table Query,"If a column name contains spaces, punctuation, or SQL key words, then the name must be enclosed in double quotes.","select ""has space"" from syn123"
Basics Table Query,Any double quote within a column name must be escaped with two double quotes.,"select ""The """"Cool"""" name"" from syn123"
Aggregation Functions,Count the number of rows in table 'syn123'.,select count(*) from syn123
Aggregation Functions,Get the maximum of all values for the column 'foo' in table 'syn123'.,select max( foo ) from syn123
Aggregation Functions,Get the minimum of all values for the column 'foo' in table 'syn123'.,select min(foo) from syn123
Aggregation Functions,Get the average of all values for the column 'foo' in table 'syn123'.,select avg(foo) from syn123
Aggregation Functions,Get the sum of all values for the column 'foo' in table 'syn123'.,select sum(foo) from syn123
Aggregation Functions,Returns the bit-wise AND of all bits in expr.,select bit_and(expr) from syn123
Aggregation Functions,Returns the bit-wise OR of all bits in expr.,select bit_or(expr) from syn123
Aggregation Functions,Returns the bit-wise XOR of all bits in expr.,select bit_xor(expr) from syn123
Aggregation Functions,"Returns the population standard deviation of expr (the square root of VAR_POP()). You can also use STD() or STDDEV(), which are equivalent.",select STDDEV_POP(expr) from syn123
Aggregation Functions,Returns the sample standard deviation of expr (the square root of VAR_SAMP(). ,select STDDEV_SAMP(expr) from syn123
Aggregation Functions,"Returns the population standard variance of expr. It considers rows as the whole population, not as a sample, so it has the number of rows as the denominator. You can also use VARIANCE(), which is equivalent.",select VAR_POP(expr) from syn123
Aggregation Functions,"Returns the sample variance of expr. That is, the denominator is the number of rows minus one. ",select VAR_POP(expr) from syn123
Set Selection,The DISTINCT keyword can be used to select all distinct value (the value set) from a column. ,select distinct foo from syn123
Set Selection,"The DISTINCT keyword applies to all selected columns, so if more than one column is listed, then the results will be a list of the distinct combinations of all selected columns.","select distinct foo, bar from syn123"
Set Selection,"The DISTINCT keyword can be used with set functions.  In this example, we will get the count of the distinct values from the foo column.",select count(distinct foo) from syn123
Arithmetic,Perform basic arithmetic.  Supported operators: + | - | /  | *,select (1 + 2)/3 from syn123
Arithmetic,Perform integer division.,select 5 DIV 2 from syn123
Arithmetic,Modulo operation.  Returns the remainder of integer division.,select 5 % 2 from syn123
Filtering,Select all rows where column foo has a value equal to one.,select * from syn123 where foo =1
Filtering,"Select all rows where column foo has a string value equal to 'a string', the right-hand-side but be within single quotes (').",select * from syn123 where foo = 'a string'
Filtering,Select all rows where column foo has a value greater than one.,select * from syn123 where foo > 1
Filtering,Select all rows where column foo have a value greater than -1.98e12,select * from syn123 where foo > 1.98e12
Filtering ,Select all rows where column foo has a value  less than one.,select * from syn123 where foo < 1
Filtering,Select all rows where column foo has a value that does not equal one.,select * from syn123 where foo <> 1
